Species,decimalLatitude,decimalLongitude,year,month,basisOfRecord
Elk,37.351949,-107.062021,2022,1,HUMAN_OBSERVATION
Elk,40.375801,-105.509082,2022,1,HUMAN_OBSERVATION
Elk,37.323569,-107.033815,2022,1,HUMAN_OBSERVATION
Elk,40.305887,-105.102889,2022,1,HUMAN_OBSERVATION
Elk,37.256572,-107.035972,2022,1,HUMAN_OBSERVATION
Elk,39.711195,-105.298325,2022,1,HUMAN_OBSERVATION
Elk,39.072501,-105.963093,2022,1,HUMAN_OBSERVATION
Elk,40.381608,-105.125813,2022,1,HUMAN_OBSERVATION
Elk,37.290521,-107.01701,2022,1,HUMAN_OBSERVATION
Elk,37.310666,-107.106645,2022,1,HUMAN_OBSERVATION
Elk,37.262758,-107.17309,2022,1,HUMAN_OBSERVATION
Elk,37.333464,-107.120842,2022,1,HUMAN_OBSERVATION
Elk,37.207541,-107.1214,2022,1,HUMAN_OBSERVATION
Elk,40.377948,-105.512995,2022,1,HUMAN_OBSERVATION
Elk,37.343027,-107.084275,2022,1,HUMAN_OBSERVATION
Elk,38.477062,-107.129475,2022,1,HUMAN_OBSERVATION
Elk,37.361463,-107.161515,2022,1,HUMAN_OBSERVATION
Elk,37.376996,-107.095952,2022,2,HUMAN_OBSERVATION
Elk,39.954008,-105.342227,2022,2,HUMAN_OBSERVATION
Elk,39.962216,-105.339926,2022,2,HUMAN_OBSERVATION
Elk,39.79322,-105.352783,2022,2,HUMAN_OBSERVATION
Elk,39.963866,-105.339587,2022,2,HUMAN_OBSERVATION
Elk,39.961354,-105.339877,2022,2,HUMAN_OBSERVATION
Elk,39.952545,-105.33975,2022,2,HUMAN_OBSERVATION
Elk,39.953393,-105.340928,2022,2,HUMAN_OBSERVATION
Elk,39.963011,-105.339501,2022,2,HUMAN_OBSERVATION
Elk,39.95389,-105.340829,2022,2,HUMAN_OBSERVATION
Elk,39.952712,-105.965269,2022,2,HUMAN_OBSERVATION
Elk,39.735954,-105.214902,2022,2,HUMAN_OBSERVATION
Elk,37.256511,-107.037378,2022,2,HUMAN_OBSERVATION
Elk,37.314988,-107.151241,2022,2,HUMAN_OBSERVATION
Elk,37.205278,-107.14284,2022,2,HUMAN_OBSERVATION
Elk,39.604225,-106.516515,2022,2,HUMAN_OBSERVATION
Elk,40.378462,-105.538055,2022,2,HUMAN_OBSERVATION
Elk,37.244865,-107.083795,2022,2,HUMAN_OBSERVATION
Elk,37.200972,-107.096466,2022,2,HUMAN_OBSERVATION
Elk,40.515803,-105.250971,2022,3,HUMAN_OBSERVATION
Elk,40.344451,-105.68573,2022,3,HUMAN_OBSERVATION
Elk,39.645696,-106.830149,2022,3,HUMAN_OBSERVATION
Elk,40.376083,-105.486022,2022,3,HUMAN_OBSERVATION
Elk,38.053517,-106.178437,2022,3,HUMAN_OBSERVATION
Elk,40.376033,-105.48568,2022,3,HUMAN_OBSERVATION
Elk,40.377201,-105.521665,2022,3,HUMAN_OBSERVATION
Elk,39.411472,-105.072647,2022,3,HUMAN_OBSERVATION
Elk,39.411962,-105.072852,2022,3,HUMAN_OBSERVATION
Elk,37.583735,-104.952502,2022,3,HUMAN_OBSERVATION
Elk,37.583435,-104.952395,2022,3,HUMAN_OBSERVATION
Elk,37.265246,-107.026138,2022,3,HUMAN_OBSERVATION
Elk,39.749834,-105.272592,2022,3,HUMAN_OBSERVATION
Elk,37.245915,-107.127569,2022,3,HUMAN_OBSERVATION
Elk,37.261365,-107.11603,2022,3,HUMAN_OBSERVATION
Elk,38.29773,-107.77273,2022,3,HUMAN_OBSERVATION
Elk,37.247628,-107.029576,2022,3,HUMAN_OBSERVATION
Elk,37.237682,-107.014839,2022,3,HUMAN_OBSERVATION
Elk,39.203247,-105.988533,2022,4,HUMAN_OBSERVATION
Elk,37.85093,-105.311058,2022,4,HUMAN_OBSERVATION
Elk,37.973701,-105.209406,2022,4,HUMAN_OBSERVATION
Elk,40.369219,-105.5317,2022,4,HUMAN_OBSERVATION
Elk,37.392222,-105.37,2022,4,HUMAN_OBSERVATION
Elk,40.373994,-105.494274,2022,4,HUMAN_OBSERVATION
Elk,40.380542,-105.599961,2022,4,HUMAN_OBSERVATION
Elk,40.387016,-105.52117200000001,2022,4,HUMAN_OBSERVATION
Elk,40.368266,-105.538147,2022,4,HUMAN_OBSERVATION
Elk,40.373073,-105.505093,2022,4,HUMAN_OBSERVATION
Elk,40.44867,-105.203613,2022,4,HUMAN_OBSERVATION
Elk,40.369716,-105.532616,2022,4,HUMAN_OBSERVATION
Elk,40.366668,-105.575614,2022,4,HUMAN_OBSERVATION
Elk,40.394812,-105.616008,2022,4,HUMAN_OBSERVATION
Elk,40.423088,-105.162266,2022,4,HUMAN_OBSERVATION
Elk,40.898682,-106.257171,2022,4,HUMAN_OBSERVATION
Elk,40.373001,-105.524021,2022,4,HUMAN_OBSERVATION
Elk,37.005147,-102.136548,2022,4,HUMAN_OBSERVATION
Elk,40.361692,-105.703175,2022,4,HUMAN_OBSERVATION
Elk,37.915892,-104.934804,2022,4,HUMAN_OBSERVATION
Elk,39.59553,-105.250892,2022,5,HUMAN_OBSERVATION
Elk,39.639296,-105.316869,2022,5,HUMAN_OBSERVATION
Elk,37.155969,-106.426697,2022,5,HUMAN_OBSERVATION
Elk,37.806377,-105.242066,2022,5,HUMAN_OBSERVATION
Elk,40.233003,-105.174706,2022,5,HUMAN_OBSERVATION
Elk,40.340583,-105.530214,2022,5,HUMAN_OBSERVATION
Elk,39.129836,-104.812303,2022,5,HUMAN_OBSERVATION
Elk,39.636967,-105.261538,2022,5,HUMAN_OBSERVATION
Elk,40.34943,-105.577055,2022,5,HUMAN_OBSERVATION
Elk,37.031267,-102.921506,2022,5,HUMAN_OBSERVATION
Elk,40.386825,-105.609499,2022,5,HUMAN_OBSERVATION
Elk,37.925674,-107.159433,2022,5,HUMAN_OBSERVATION
Elk,40.394945,-105.616172,2022,5,HUMAN_OBSERVATION
Elk,40.375093,-105.592458,2022,5,HUMAN_OBSERVATION
Elk,40.365198,-105.582155,2022,5,HUMAN_OBSERVATION
Elk,40.371403,-105.549622,2022,5,HUMAN_OBSERVATION
Elk,40.3765,-105.542891,2022,5,HUMAN_OBSERVATION
Elk,40.385773,-105.557144,2022,5,HUMAN_OBSERVATION
Elk,40.389754,-105.462879,2022,5,HUMAN_OBSERVATION
Elk,40.36382,-105.5838,2022,5,HUMAN_OBSERVATION
Elk,40.371159,-105.599884,2022,5,HUMAN_OBSERVATION
Elk,37.357697,-106.467485,2022,5,HUMAN_OBSERVATION
Elk,40.36395,-105.545608,2022,5,HUMAN_OBSERVATION
Elk,38.72448,-106.085838,2022,5,HUMAN_OBSERVATION
Elk,40.359092,-105.589363,2022,5,HUMAN_OBSERVATION
Elk,40.346742,-105.579308,2022,5,HUMAN_OBSERVATION
Elk,37.552412,-104.958707,2022,5,HUMAN_OBSERVATION
Elk,40.369114,-105.570488,2022,5,HUMAN_OBSERVATION
Elk,40.372013,-105.606514,2022,5,HUMAN_OBSERVATION
Elk,40.358958,-105.597331,2022,5,HUMAN_OBSERVATION
Elk,37.178995,-106.444966,2022,5,HUMAN_OBSERVATION
Elk,40.656875,-107.242992,2022,5,HUMAN_OBSERVATION
Elk,40.370879,-105.61023,2022,5,HUMAN_OBSERVATION
Elk,40.369158,-105.569892,2022,5,HUMAN_OBSERVATION
Elk,40.366813,-105.57737,2022,5,HUMAN_OBSERVATION
